 
-- Sample data

Customer    Average purchases per month (in dollars)
--------    ----------------------------------------
   1                     110.42
   2                      87.50
   3                      12.18
   4                      24.67
   5                     327.18
   6                      54.30
   7                     119.42
   8                      47.71
   9                     287.52 
  10                      16.51
  11                      77.98
  12                     401.76
  13                     375.01
  14                      23.87
  15                      11.01
  16                      90.67
  17                     412.65
  18                      18.17
  19                     112.69
  20                     314.52
  21                      65.21
  22                      19.18
  23                      52.04
  24                     234.21
  25                      42.98
  26                      17.98
  27                     144.39
  28                     220.96
  29                      27.43
  30                     349.03
  31                      65.97
  32                      12.03

